SNO,PLAYER,TEAM_IMG,BLANK,MAT,TEAM,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
90,Wessel Herbst,CBCOB 3,,CBCOB 3,2,2,14.0,62,2,20/ 2,1,59,4.43,31.00,42.0,0,0,0,1,1,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
91,Tiaan Malan,SINOVILLE 4,,SINOVILLE 4,1,1,2.0,9,2,9/ 2,0,8,4.50,4.50,6.0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
92,Regan Pruss,PHSOB 4,,PHSOB 4,1,1,7.4,38,2,38/ 2,0,26,4.96,19.00,23.0,0,0,0,2,0,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
93,Steven Meyburgh,PHSOB 3,,PHSOB 3,2,2,13.0,66,2,23/ 1,1,35,5.08,33.00,39.0,0,0,0,1,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
94,Mollie Sinoville,SINOVILLE 3,,SINOVILLE 3,1,1,9.0,46,2,46/ 2,0,33,5.11,23.00,27.0,0,0,0,5,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
95,Brian Kershaw,PHSOB 4,,PHSOB 4,1,1,9.0,46,2,46/ 2,0,28,5.11,23.00,27.0,0,0,0,2,0,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
96,Jaco Van der walt,SINOVILLE 3,,SINOVILLE 3,1,1,6.0,32,2,32/ 2,0,24,5.33,16.00,18.0,0,0,0,5,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
97,Johan Broekman,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,1,9.0,50,2,50/ 2,1,32,5.56,25.00,27.0,0,0,0,0,1,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
98,Jaco CBC,CBCOB 3,,CBCOB 3,1,1,9.0,51,2,51/ 2,1,31,5.67,25.50,27.0,0,0,0,2,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
99,Jody Buys,HARLEQUINS 3,,HARLEQUINS 3,5,3,14.0,83,2,8/ 1,0,38,5.93,41.50,42.0,0,0,0,8,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
100,Meshack Gabeni,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,3.0,18,2,18/ 2,0,8,6.00,9.00,9.0,0,0,0,0,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
101,Justin Fourie,PHSOB 3,,PHSOB 3,1,1,9.0,61,2,61/ 2,0,27,6.78,30.50,27.0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
102,Benjamin Cronje,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,6.0,41,2,16/ 2,1,21,6.83,20.50,18.0,0,0,0,5,2,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
103,Bennie Viljoen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,4.0,29,2,29/ 2,0,15,7.25,14.50,12.0,0,0,0,4,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
104,Ivan Havenga,CBCOB 3,,CBCOB 3,4,3,12.0,103,2,17/ 1,0,21,8.58,51.50,36.0,0,0,0,5,1,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
105,Adriaan Venter,CBCOB 3,,CBCOB 3,4,1,0.2,0,1,0/ 1,0,2,0.00,0.00,2.0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
106,Gary Van Blerk,TUT 3,,TUT 3,4,1,0.1,0,1,0/ 1,0,1,0.00,0.00,1.0,0,0,0,0,0,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
