MATCH_ID,LEAGUE_ID,LEAGUE_NAME,LEAGUE_YEAR,CLUB_ID,MATCH_TYPE,MATCH_DATE,MATCH_DATE_KEY,RESULT,INNINGS,BATTING_TEAM_ID,BOWLING_TEAM_ID,BATTING_TEAM_NAME,BOWLING_TEAM_NAME,TOTAL_RUNS,TOTAL_BALLS,BYES,LEG_BYES,WICKETS,WIDES,NO_BALLS,PENALTY
7677,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,01/11/2025,20251101,CBCOB 3 won by 7 Wickets,1,5428,5425,PHSOB 3,CBCOB 3,232,270,0,1,7,23,1,0
7677,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,01/11/2025,20251101,CBCOB 3 won by 7 Wickets,2,5425,5428,CBCOB 3,PHSOB 3,234,219,5,1,3,22,1,0
7654,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,01/11/2025,20251101,IRENE VILLAGERS 4 won by 49 Runs,1,5432,5427,IRENE VILLAGERS 4,IRENE VILLAGERS 3,176,240,7,1,8,19,1,0
7654,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,01/11/2025,20251101,IRENE VILLAGERS 4 won by 49 Runs,2,5427,5432,IRENE VILLAGERS 3,IRENE VILLAGERS 4,127,170,0,1,10,15,0,0
7649,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,01/11/2025,20251101,SINOVILLE 3 won by 165 Runs,1,5429,5426,SINOVILLE 3,HARLEQUINS 3,327,240,4,5,8,27,1,0
7649,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,01/11/2025,20251101,SINOVILLE 3 won by 165 Runs,2,5426,5429,HARLEQUINS 3,SINOVILLE 3,162,148,2,0,10,17,1,0
7648,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,01/11/2025,20251101,TUT 3 won by 4 Wickets,1,5430,5431,TUKS 5,TUT 3,229,240,0,1,7,14,0,0
7648,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,01/11/2025,20251101,TUT 3 won by 4 Wickets,2,5431,5430,TUT 3,TUKS 5,230,234,4,2,6,18,0,0
7488,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,25/10/2025,20251025,TUT 3 won by 172 Runs,1,5431,5432,TUT 3,IRENE VILLAGERS 4,277,240,0,0,7,32,4,0
7488,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,25/10/2025,20251025,TUT 3 won by 172 Runs,2,5432,5431,IRENE VILLAGERS 4,TUT 3,105,144,0,0,10,18,3,0
7486,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,25/10/2025,20251025,IRENE VILLAGERS 3 won by 8 Wickets,1,5426,5427,HARLEQUINS 3,IRENE VILLAGERS 3,68,102,1,1,10,6,3,0
7486,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,25/10/2025,20251025,IRENE VILLAGERS 3 won by 8 Wickets,2,5427,5426,IRENE VILLAGERS 3,HARLEQUINS 3,71,64,1,0,2,18,0,0
7484,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,25/10/2025,20251025,PHSOB 3 won by 76 Runs,1,5428,5430,PHSOB 3,TUKS 5,313,265,12,1,10,22,0,0
7484,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,25/10/2025,20251025,PHSOB 3 won by 76 Runs,2,5430,5428,TUKS 5,PHSOB 3,237,210,1,3,10,21,1,0
7452,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,18/10/2025,20251018,Abandoned.,1,5425,5427,CBCOB 3,IRENE VILLAGERS 3,0,0,0,0,0,0,0,0
7452,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,18/10/2025,20251018,Abandoned.,2,5427,5425,IRENE VILLAGERS 3,CBCOB 3,0,0,0,0,0,0,0,0
7430,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,18/10/2025,20251018,Abandoned.,1,5431,5426,TUT 3,HARLEQUINS 3,0,0,0,0,0,0,0,0
7430,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,18/10/2025,20251018,Abandoned.,2,5426,5431,HARLEQUINS 3,TUT 3,0,0,0,0,0,0,0,0
7428,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,18/10/2025,20251018,Abandoned.,1,5430,5432,TUKS 5,IRENE VILLAGERS 4,0,0,0,0,0,0,0,0
7428,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,18/10/2025,20251018,Abandoned.,2,5432,5430,IRENE VILLAGERS 4,TUKS 5,0,0,0,0,0,0,0,0
7373,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,11/10/2025,20251011,CBCOB 3 won by 35 Runs,1,5425,5431,CBCOB 3,TUT 3,137,205,5,1,10,24,3,0
7373,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,11/10/2025,20251011,CBCOB 3 won by 35 Runs,2,5431,5425,TUT 3,CBCOB 3,102,139,1,0,10,4,1,0
7368,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,11/10/2025,20251011,IRENE VILLAGERS 3 won by 7 Wickets,1,5429,5427,SINOVILLE 3,IRENE VILLAGERS 3,88,111,0,2,10,14,0,0
7368,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,11/10/2025,20251011,IRENE VILLAGERS 3 won by 7 Wickets,2,5427,5429,IRENE VILLAGERS 3,SINOVILLE 3,90,70,2,0,3,8,1,0
7365,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,11/10/2025,20251011,PHSOB 3 won by 2 Wickets,1,5432,5428,IRENE VILLAGERS 4,PHSOB 3,249,244,6,1,10,39,5,0
7365,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,11/10/2025,20251011,PHSOB 3 won by 2 Wickets,2,5428,5432,PHSOB 3,IRENE VILLAGERS 4,250,234,0,1,8,42,1,0
7359,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,11/10/2025,20251011,HARLEQUINS 3 won by 25 Runs,1,5426,5430,HARLEQUINS 3,TUKS 5,186,236,0,0,10,19,4,0
7359,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,11/10/2025,20251011,HARLEQUINS 3 won by 25 Runs,2,5430,5426,TUKS 5,HARLEQUINS 3,161,157,1,6,10,30,3,0
7144,790,2024 Titans Second League,unknown,32995,,,,CBCOB 3 228/3(30.5 overs),1,4552,4560,CBCOB 3,CENTURION KAVALIERS 3,228,185,0,1,3,15,1,0
7144,790,2024 Titans Second League,unknown,32995,,,,CBCOB 3 228/3(30.5 overs),2,4560,4552,CENTURION KAVALIERS 3,CBCOB 3,0,0,0,0,0,0,0,0
7116,790,2024 Titans Second League,2024,32995,League,30/03/2025,20250330,Abandoned.,1,4556,4552,SINOVILLE 3,CBCOB 3,0,0,0,0,0,0,0,0
7116,790,2024 Titans Second League,2024,32995,League,30/03/2025,20250330,Abandoned.,2,4552,4556,CBCOB 3,SINOVILLE 3,0,0,0,0,0,0,0,0
7143,790,2024 Titans Second League,2024,32995,League,29/03/2025,20250329,CBCOB 3 won by 6 Wickets,1,4560,4552,CENTURION KAVALIERS 3,CBCOB 3,63,81,2,0,10,11,1,0
7143,790,2024 Titans Second League,2024,32995,League,29/03/2025,20250329,CBCOB 3 won by 6 Wickets,2,4552,4560,CBCOB 3,CENTURION KAVALIERS 3,64,67,0,0,4,2,0,0
7096,790,2024 Titans Second League,2024,32995,League,29/03/2025,20250329,Abandoned. Winner: SINOVILLE 4,1,4560,4557,CENTURION KAVALIERS 3,SINOVILLE 4,0,0,0,0,0,0,0,0
7096,790,2024 Titans Second League,2024,32995,League,29/03/2025,20250329,Abandoned. Winner: SINOVILLE 4,2,4557,4560,SINOVILLE 4,CENTURION KAVALIERS 3,0,0,0,0,0,0,0,0
7079,790,2024 Titans Second League,2024,32995,League,23/03/2025,20250323,Abandoned.,1,4560,4555,CENTURION KAVALIERS 3,PHSOB 3,0,0,0,0,0,0,0,0
7079,790,2024 Titans Second League,2024,32995,League,23/03/2025,20250323,Abandoned.,2,4555,4560,PHSOB 3,CENTURION KAVALIERS 3,0,0,0,0,0,0,0,0
7090,790,2024 Titans Second League,2024,32995,League,22/03/2025,20250322,Forfeited. Winner: SINOVILLE 4,1,4557,4555,SINOVILLE 4,PHSOB 3,0,0,0,0,0,0,0,0
7090,790,2024 Titans Second League,2024,32995,League,22/03/2025,20250322,Forfeited. Winner: SINOVILLE 4,2,4555,4557,PHSOB 3,SINOVILLE 4,0,0,0,0,0,0,0,0
7087,790,2024 Titans Second League,2024,32995,League,22/03/2025,20250322,CBCOB 3 won by 5 Wickets,1,4556,4552,SINOVILLE 3,CBCOB 3,162,208,4,0,10,6,7,0
