SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s
134,Nathan Fox,PHSOB 3,,PHSOB 3,1,1,0,18,11,18.00,163.64,18,0,0,0,0,0,1,1
,PHSOB 3,,,,,,,,,,,,,,,,,,
135,Gerrie Van Rooyen,PHSOB 3,,PHSOB 3,1,1,0,18,15,18.00,120.00,18,0,0,0,0,0,0,3
,PHSOB 3,,,,,,,,,,,,,,,,,,
136,Ruben Erasmus,SINOVILLE 3,,SINOVILLE 3,4,3,0,18,21,6.00,85.71,14,0,0,0,0,1,2,1
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
137,Jean Steyn,TUT 3,,TUT 3,2,1,0,18,27,18.00,66.67,18,0,0,0,0,0,2,0
,TUT 3,,,,,,,,,,,,,,,,,,
138,Janu Olivier,SINOVILLE 3,,SINOVILLE 3,2,2,0,18,30,9.00,60.00,18,0,0,0,0,1,1,1
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
139,Jared Fourie,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,1,0,17,21,17.00,80.95,17,0,0,0,0,0,1,1
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
140,Miles M,CBCOB 3,,CBCOB 3,1,1,0,17,21,17.00,80.95,17,0,0,0,0,0,0,3
,CBCOB 3,,,,,,,,,,,,,,,,,,
141,Faf Potgieter,CBCOB 3,,CBCOB 3,3,2,0,17,25,8.50,68.00,14,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
142,Jandre Lotheringen,CBCOB 3,,CBCOB 3,1,1,0,16,9,16.00,177.78,16,0,0,0,0,0,2,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
143,Jaco Fourie,PHSOB 3,,PHSOB 3,1,1,0,16,25,16.00,64.00,16,0,0,0,0,0,1,0
