SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
82,Andreas De Lange,TUKS 6,,TUKS 6,4,4,1,35,79,11.67,44.30,14,0,0,0,0,0,0,3,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
83,Evan Tuks6,TUKS 6,,TUKS 6,1,1,1,33,20,--,165.00,33,0,0,0,1,0,3,1,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
84,Xander Venter,SINOVILLE 3,,SINOVILLE 3,1,1,0,33,21,33.00,157.14,33,0,0,0,1,0,1,4,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
85,Martin Childs-Hurn,TUKS 5,,TUKS 5,4,3,0,33,51,11.00,64.71,20,0,0,0,0,0,0,3,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
86,Ryan Rossouw,PHSOB 3,,PHSOB 3,3,3,1,32,46,16.00,69.57,20,0,0,0,0,0,1,2,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
87,Dian Botha,SINOVILLE 4,,SINOVILLE 4,1,1,1,30,12,--,250.00,30,0,0,0,1,0,4,1,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
88,Tiaan Lotter,SINOVILLE 4,,SINOVILLE 4,2,1,1,30,14,--,214.29,30,0,0,0,1,0,3,2,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
89,Kobus Gouws,SINOVILLE 3,,SINOVILLE 3,1,1,0,30,23,30.00,130.43,30,0,0,0,1,0,0,6,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
90,Eddie Stevens,PHSOB 3,,PHSOB 3,2,2,0,30,34,15.00,88.24,22,0,0,0,0,0,2,2,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
91,Dries Van der Lith,SINOVILLE 4,,SINOVILLE 4,2,1,0,29,20,29.00,145.00,29,0,0,0,1,0,2,2,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
92,Heinrich Odendaal,CBCOB 3,,CBCOB 3,1,1,1,29,21,--,138.10,29,0,0,0,1,0,2,3,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
93,Keaton Steenkamp,SINOVILLE 4,,SINOVILLE 4,7,2,1,29,30,29.00,96.67,28,0,0,0,1,0,0,4,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
94,JJ Du Toit,SINOVILLE 3,,SINOVILLE 3,2,2,0,29,31,14.50,93.55,23,0,0,0,0,0,0,5,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
95,Jean Coetser,TUT 3,,TUT 3,5,4,0,29,38,7.25,76.32,17,0,0,0,0,2,0,3,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
96,Barend Huyzer,TUT 3,,TUT 3,6,4,3,29,42,29.00,69.05,15,0,0,0,0,0,1,3,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
97,Justin Fourie,PHSOB 3,,PHSOB 3,4,3,1,27,30,13.50,90.00,16,0,0,0,0,0,1,3,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
98,Dyllan Tweedy,TUKS 6,,TUKS 6,1,1,0,27,42,27.00,64.29,27,0,0,0,1,0,0,5,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
99,Dewald Basson,TUT 3,,TUT 3,6,3,1,27,52,13.50,51.92,15,0,0,0,0,1,0,3,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
100,Hlomla Henna,TUKS 6,,TUKS 6,7,6,4,27,59,13.50,45.76,12,0,0,0,0,2,0,3,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
101,Joel Duminy,PHSOB 3,,PHSOB 3,1,1,0,27,62,27.00,43.55,27,0,0,0,1,0,1,2,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
102,Jos Grove,PHSOB 3,,PHSOB 3,2,2,0,26,26,13.00,100.00,17,0,0,0,0,0,0,2,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
103,Divan Behrens,SINOVILLE 3,,SINOVILLE 3,2,2,1,26,33,26.00,78.79,20,0,0,0,0,0,0,1,Titans Second League
